"çÏã∆ê\êøèëID",ê›îıID
1,1
2,2
3,3
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,14
13,15
14,17
15,18
16,20
17,21
18,22
19,26
20,29
21,31
22,32
23,33
24,35
25,36
26,37
27,39
28,40
29,41
30,42
31,44
32,45
33,47
34,48
35,49
36,50
37,51
38,52
39,53
40,54
41,56
42,57
43,58
44,61
45,62
46,63
47,64
48,65
49,66
50,67
51,68
52,74
53,75
54,76
55,77
56,79
57,81
58,82
59,83
60,84
61,85
62,87
63,88
64,89
65,90
66,91
67,92
68,93
69,94
70,96
71,97
72,98
73,100
74,101
75,102
76,103
77,104
78,105
79,106
80,107
81,108
82,109
83,110
84,111
85,112
86,113
87,114
88,115
89,116
90,117
91,118
92,119
93,120
94,122
95,123
96,124
97,126
98,127
99,129
100,130
101,131
102,134
103,135
104,136
105,137
106,138
107,139
108,140
109,141
110,142
111,144
112,145
113,146
114,147
115,148
116,149
117,151
118,152
119,154
120,155
121,156
122,157
123,158
124,159
125,160
126,3
127,4
128,5
129,6
130,7
131,8
132,9
133,10
134,12
135,13
136,14
137,15
138,16
139,19
140,20
141,22
142,23
143,26
144,27
145,28
146,29
147,31
148,33
149,34
150,35
151,36
152,37
153,40
154,41
155,42
156,44
157,45
158,47
159,48
160,49
161,50
162,51
163,52
164,54
165,55
166,56
167,57
168,58
169,59
170,60
171,61
172,62
173,63
174,64
175,65
176,67
177,69
178,71
179,72
180,73
181,74
182,75
183,76
184,77
185,79
186,80
187,81
188,82
189,83
190,84
191,85
192,86
193,87
194,88
195,89
196,90
197,91
198,93
199,94
200,95
201,96
202,97
203,98
204,99
205,100
206,101
207,102
208,103
209,104
210,105
211,106
212,108
213,109
214,110
215,112
216,114
217,115
218,116
219,117
220,118
221,119
222,120
223,121
224,122
225,123
226,124
227,125
228,126
229,127
230,128
231,129
232,130
233,131
234,132
235,133
236,134
237,135
238,136
239,137
240,138
241,139
242,140
243,142
244,143
245,144
246,145
247,146
248,147
249,148
250,149
251,150
252,151
253,154
254,155
255,156
256,157
257,158
258,159
259,160
260,161
261,1
262,4
263,6
264,7
265,9
266,10
267,11
268,12
269,13
270,14
271,15
272,16
273,17
274,18
275,19
276,20
277,21
278,22
279,27
280,28
281,30
282,31
283,32
284,33
285,34
286,36
287,37
288,38
289,39
290,40
291,41
292,43
293,44
294,45
295,46
296,47
297,48
298,49
299,50
300,51
301,52
302,53
303,54
304,55
305,56
306,58
307,59
308,60
309,61
310,63
311,65
312,66
313,67
314,68
315,69
316,70
317,72
318,73
319,74
320,76
321,78
322,79
323,81
324,82
325,83
326,85
327,86
328,87
329,88
330,89
331,91
332,92
333,93
334,94
335,95
336,96
337,97
338,98
339,99
340,100
341,101
342,102
343,103
344,104
345,105
346,106
347,108
348,110
349,111
350,112
351,114
352,115
353,116
354,117
355,118
356,119
357,120
358,121
359,122
360,123
361,124
362,125
363,126
364,127
365,128
366,130
367,131
368,134
369,135
370,136
371,137
372,138
373,139
374,141
375,142
376,143
377,144
378,145
379,146
380,147
381,148
382,149
383,150
384,151
385,152
386,153
387,154
388,158
389,159
390,160
391,1
392,3
393,4
394,6
395,7
396,9
397,11
398,12
399,14
400,17
401,18
402,19
403,20
404,21
405,22
406,24
407,25
408,26
409,27
410,28
411,29
412,30
413,31
414,32
415,33
416,34
417,35
418,36
419,37
420,38
421,39
422,40
423,41
424,42
425,43
426,44
427,46
428,47
429,48
430,49
431,50
432,51
433,52
434,53
435,54
436,55
437,56
438,58
439,59
440,60
441,61
442,62
443,63
444,64
445,65
446,66
447,67
448,69
449,70
450,72
451,73
452,74
453,75
454,76
455,77
456,78
457,79
458,81
459,82
460,84
461,85
462,86
463,87
464,88
465,89
466,90
467,91
468,92
469,93
470,94
471,95
472,96
473,97
474,98
475,100
476,101
477,102
478,103
479,105
480,107
481,109
482,111
483,112
484,113
485,114
486,115
487,116
488,117
489,118
490,119
491,120
492,121
493,122
494,123
495,124
496,125
497,126
498,127
499,128
500,129
501,131
502,132
503,133
504,134
505,135
506,136
507,137
508,138
509,139
510,140
511,141
512,142
513,143
514,144
515,145
516,146
517,147
518,148
519,149
520,151
521,152
522,153
523,154
524,155
525,156
526,157
527,159
528,161
